,Country,GDP_2020,GDP_2021,GDP_2022,GDP_2023,GDP_2024,GDP_2025
1,Albania,15271.0,18086.0,19185.0,23388.0,27259.0,28372.0
2,Algeria,164774.0,185850.0,225709.0,247789.0,264913.0,268885.0
3,Andorra,2885.0,3325.0,3376.0,3786.0,4038.0,4035.0
4,Angola,66521.0,84375.0,142442.0,109764.0,115946.0,113343.0
5,Antigua and Barbuda,1412.0,1602.0,1867.0,2006.0,2225.0,2373.0
6,Argentina,385218.0,486040.0,632318.0,645511.0,632145.0,683533.0
7,Armenia,12642.0,13879.0,19514.0,24086.0,25533.0,26258.0
8,Aruba,2486.0,2929.0,3279.0,3649.0,3952.0,4100.0
9,Australia,1362613.0,1655843.0,1725461.0,1742461.0,1796805.0,1771681.0
10,Austria,434050.0,480786.0,472339.0,512509.0,521269.0,534301.0
11,Azerbaijan,42693.0,54825.0,78807.0,72428.0,74316.0,78870.0
12,Bahamas,9958.0,11369.0,13136.0,14338.0,14761.0,15178.0
13,Bahrain,35838.0,40840.0,46458.0,46192.0,46943.0,47829.0
14,Bangladesh,373902.0,416265.0,460201.0,451534.0,451096.0,467218.0
15,Barbados,5168.0,5275.0,6257.0,6721.0,7167.0,7552.0
16,Belarus,61312.0,68207.0,73735.0,71792.0,71180.0,71561.0
17,Belgium,529269.0,598892.0,593906.0,644968.0,664965.0,684864.0
18,Belize,2043.0,2421.0,2847.0,3067.0,3427.0,3611.0
19,Benin,15674.0,17699.0,17439.0,19679.0,21249.0,22236.0
20,Bhutan,2586.0,2623.0,2869.0,2923.0,3092.0,3422.0
21,Bolivia,36897.0,40701.0,44329.0,45464.0,48404.0,56339.0
22,Bosnia and Herzegovina,20226.0,23673.0,24535.0,27592.0,28795.0,28807.0
23,Botswana,14930.0,18750.0,20321.0,19411.0,19356.0,19400.0
24,Brazil,1476092.0,1670650.0,1951849.0,2191137.0,2171337.0,2125958.0
25,Brunei,12006.0,14006.0,16682.0,15095.0,15463.0,16007.0
26,Bulgaria,70658.0,84477.0,90719.0,102434.0,112232.0,117007.0
27,Burkina Faso,17837.0,19747.0,19588.0,21181.0,23975.0,27056.0
28,Burundi,3089.0,3356.0,3922.0,4246.0,4743.0,6745.0
29,Cape Verde,1831.0,2053.0,2309.0,2588.0,2726.0,2786.0
30,Cambodia,34898.0,36797.0,39838.0,43304.0,47328.0,49799.0
31,Cameroon,40863.0,45036.0,44442.0,49283.0,52784.0,56011.0
32,Canada,1655685.0,2022382.0,2190411.0,2173340.0,2241253.0,2225341.0
33,Central African Republic,2389.0,2585.0,2460.0,2602.0,2831.0,2932.0
34,Chad,14954.0,16881.0,17867.0,18343.0,19078.0,18792.0
35,Chile,254060.0,315411.0,301270.0,335627.0,330210.0,343823.0
